Min;Max;Modulation
0.700;0.740;0.96%
0.750;0.790;1.38%
0.800;0.840;1.92%
0.850;0.890;2.40%
0.900;0.940;2.94%
0.950;0.990;3.54%
1.000;1.040;4.26%
1.050;1.090;4.80%
1.100;1.140;5.34%
1.150;1.190;6.72%
1.200;1.240;7.38%
1.250;1.290;8.28%
1.300;1.340;8.94%
1.350;1.390;9.60%
1.400;1.440;10.62%
1.450;1.490;11.34%
1.500;1.540;11.79%
1.550;1.590;12.24%
1.600;1.640;12.69%
1.650;1.690;13.14%
1.700;1.740;13.56%
1.750;1.790;14.04%
1.800;1.840;14.49%
1.850;1.890;14.94%
1.900;1.940;15.39%
1.950;1.990;15.84%
2.000;2.040;16.29%
2.050;2.090;16.74%
2.100;2.140;17.19%
2.150;2.190;17.64%
2.200;2.240;17.94%
2.250;2.290;18.24%
2.300;2.340;18.54%
2.350;2.390;18.84%
2.400;2.440;19.14%
2.450;2.490;19.44%
2.500;2.540;19.74%
2.550;2.590;20.04%
2.600;2.640;20.34%
